,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,
0,7,0,5,0,0,4,0,9,0,0,0,0,0,0,3,7,0,5,0,0,,,,
1,0,0,0,0,1,0,0,0,1,17,0,0,0,0,0,0,0,0,0,1,,,,
2,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,1,0,1,0,0,,,,
3,0,2,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,2,0,0,,,,
4,4,0,1,0,0,13,3,0,0,0,0,11,0,0,2,0,6,0,0,0,,,,
5,0,0,0,6,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,,,,
7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,,,,
8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
9,4,0,3,0,0,4,0,1,0,0,15,1,0,0,0,0,0,1,0,11,,,,
10,2,0,3,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,,,,
11,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,,,,
12,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,
13,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,5,0,,,,
14,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
